,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
333,Nebraska,2012,804245.0,61.070380400000005,29.0,67.26,81.51,37.53172525,1,12
334,Nevada,2012,1016664.0,56.45094390999999,22.4,61.0,52.93,37.65889557,1,12
335,New Hampshire,2012,718700.0,70.91827673,34.6,87.39,91.86999999999999,40.25912038,1,12
336,New Jersey,2012,3683638.0,62.24272927,36.2,85.94,58.08,38.69683956,1,12
337,New Mexico,2012,786522.0,54.757885019999996,26.1,55.96,39.83,37.77829541,1,12
338,New York,2012,7128852.0,53.50341302,33.4,61.44,57.37,38.62397782,1,12
339,North Carolina,2012,4542488.0,65.37878633000001,27.4,53.55,64.7,38.20794135,1,12
340,North Dakota,2012,325564.0,60.383111629999995,27.9,71.86,88.36,38.16058937,1,12
341,Ohio,2012,5632423.0,65.11851847999999,25.2,57.18,80.86,38.88783739,1,12
343,Oregon,2012,1820507.0,64.19048546,29.9,66.72,77.78,39.26127304,1,12
346,South Carolina,2012,1981516.0,56.8284503,25.1,57.22,64.29,38.75095752,1,12
347,South Dakota,2012,368270.0,60.05805705,26.3,63.68,84.03,37.97288856,1,12
348,Tennessee,2012,2479733.0,52.35829854000001,24.3,55.4,75.32,38.54299551,1,12
350,Utah,2012,1028786.0,56.11542655,30.7,75.18,79.95,32.86008495,1,12
351,Vermont,2012,301793.0,61.17157017,35.8,71.62,94.33,41.04627934,1,12
352,Virginia,2012,3888186.0,66.63927868,35.5,83.29,64.17,38.14099549,1,12
353,Washington,2012,3172939.0,65.80048776000001,31.7,80.14,71.69,38.17965513,1,12
355,Wisconsin,2012,3084115.0,73.26785243,27.1,68.4,83.09,38.74766892,1,12
356,Wyoming,2012,250701.0,58.968768080000004,24.7,74.11,84.81,37.97620751,1,12
357,Alabama,2014,1191274.0,33.19437258,23.5,53.07,66.38,39.01493392,0,14
358,Alaska,2014,285431.0,54.83131691999999,28.0,84.9,61.95,35.5782621,0,14
359,Arizona,2014,1537671.0,34.0932946,27.6,61.83,56.38999999999999,38.50298954,0,14
360,Arkansas,2014,852642.0,40.25920248,21.4,56.39,73.6,38.618125,0,14
361,California,2014,7513972.0,30.744042980000003,31.7,75.93,38.269999999999996,37.36118015,0,14
362,Colorado,2014,2080071.0,54.72914733,38.3,76.5,69.01,37.68098524,0,14
363,Connecticut,2014,1096556.0,42.54651456,38.0,88.08,68.78999999999999,39.80191932,0,14
364,Delaware,2014,238110.0,34.937772,30.6,72.21,63.89,39.74616149,0,14
365,District of Columbia,2014,177176.0,35.72824305,55.0,85.71,35.36,37.71499599,0,14
366,Florida,2014,6026802.0,43.31398909,27.3,57.92,55.66,41.23519513,0,14
367,Georgia,2014,2596947.0,38.616076840000005,29.1,62.21,54.48,37.03651625,0,14
368,Hawaii,2014,369554.0,36.51275586,31.0,89.41,21.65,39.7405237,0,14
369,Idaho,2014,445307.0,39.763742969999996,25.0,67.08,82.87,37.32824618,0,14
370,Illinois,2014,3680417.0,40.76329708,32.8,68.94,62.33,38.15834487,0,14
371,Indiana,2014,1387622.0,28.73214881,24.7,60.33,80.45,38.19728498,0,14
372,Iowa,2014,1142284.0,50.339087400000004,27.7,72.57,87.3,38.93717731,0,14
373,Kansas,2014,887023.0,43.308201880000006,31.5,67.09,76.99000000000001,37.59298395,0,14
374,Kentucky,2014,1459409.0,44.94222893,22.2,53.71,85.76,38.92194528,0,14
375,Louisiana,2014,1503975.0,44.90237601,22.9,53.23,59.589999999999996,37.63295996,0,14
376,Maine,2014,616996.0,58.674517879999996,29.4,64.91,93.81,42.15025506,0,14
377,Maryland,2014,1745104.0,42.004685949999995,38.2,95.61,52.470000000000006,38.52836252,0,14
378,Massachusetts,2014,2186789.0,44.66210785,41.2,79.28,73.96000000000001,39.61682932,0,14
