,State,Year,TotalBallots,VotingEligiblePopulation,VotingAgePopulation,PercentVotingEligibleVotes,PercentVotingAgeVotes,PercentBachelors,Income,PercentWhite,AverageAge,Population,LandAreaSQM,PopulationDensity,Presidential
76,Iowa,2012,1589951.0,2251748,2356209,0.7060963304952419,0.6747920069908909,26.3,68870,0.8812,38.578192204301075,3076.84,55857,55.08423295200244,True
77,Kansas,2012,1182771.0,2030686,2162442,0.5824489852197731,0.5469607970988355,30.4,64440,0.7775,37.29657399103139,2886.02,81759,35.299110801257356,True
78,Kentucky,2012,1815843.0,3229185,3368684,0.5623223816535752,0.5390363121028865,21.8,52940,0.8628,38.49965762319662,4387.87,39486,111.12470242617637,True
79,Maine,2012,724758.0,1046008,1064779,0.6928799779733998,0.680665189677858,28.0,63350,0.9424,41.46990561658672,1328.09,30843,43.05968939467626,True
80,Massachusetts,2012,3184196.0,4809675,5263550,0.6620397428100652,0.6049521710632558,39.3,82030,0.7535,39.26287710978691,6664.27,7800,854.3935897435897,True
81,Michigan,2012,4780701.0,7312725,7625576,0.6537509615088767,0.6269298214325055,26.0,64450,0.7644,38.89754951186939,9898.29,56539,175.0701285838094,True
82,Minnesota,2012,2950780.0,3861598,4114820,0.7641344334651096,0.7171103474757098,33.2,79630,0.8243,38.01906283887906,5377.5,79627,67.5336255290291,True
83,Missouri,2012,,4432957,4628500,,,26.4,64130,0.8091,38.538795321236236,6026.03,68742,87.66154607081552,True
84,Montana,2012,491966.0,774476,785454,0.6352243323227575,0.6263460368143774,29.4,58100,0.8723,39.9135588024931,1004.17,145546,6.899330795762165,True
85,Nebraska,2012,804245.0,1316915,1396507,0.6107038039660874,0.5758975787446823,29.0,67260,0.8151,37.53172525207509,1853.69,76824,24.12904821409976,True
86,Nevada,2012,1016664.0,1800969,2105976,0.5645094390852924,0.4827519401930506,22.4,61000,0.5293,37.65889556973699,2744.67,109781,25.001320811433672,True
87,New Hampshire,2012,718700.0,1013420,1047978,0.7091827672633262,0.6857968392466254,34.6,87390,0.9187,40.259120381220214,1324.68,8953,147.95934323690383,True
88,New Jersey,2012,3683638.0,5918182,6847503,0.6224272927057667,0.5379534700459423,36.2,85940,0.5808,38.69683956018652,8845.67,7354,1202.8379113407668,True
89,New Mexico,2012,786522.0,1436363,1573400,0.5475788501931614,0.4998868692004576,26.1,55960,0.3983,37.77829540996469,2087.72,121298,17.211495655328196,True
90,North Carolina,2012,4542488.0,6947954,7496980,0.6537878633047944,0.6059090460425398,27.4,53550,0.647,38.207941350961946,9751.81,48618,200.5802377720186,True
91,North Dakota,2012,325564.0,539164,549955,0.6038311163208226,0.5919829804256712,27.9,71860,0.8836,38.16058937341867,702.227,69001,10.17705540499413,True
92,Ohio,2012,5632423.0,8649495,8896930,0.6511851847998062,0.6330748921257108,25.2,57180,0.8086,38.88783739228843,11550.97,40861,282.689361493845,True
93,Oklahoma,2012,,2713268,2885093,,,23.8,62380,0.6805,37.62775443827077,3819.32,68595,55.67927691522706,True
94,Oregon,2012,1820507.0,2836101,3050747,0.6419048545873366,0.5967413882567122,29.9,66720,0.7778,39.261273036204415,3900.1,95988,40.631120556736256,True
95,Rhode Island,2012,,768918,834983,,,31.4,72250,0.7532,39.546482785990676,1054.89,1034,1020.2030947775629,True
96,South Carolina,2012,1981516.0,3486838,3662322,0.5682845030368489,0.5410545550063594,25.1,57220,0.6429,38.75095751898623,4719.03,30061,156.98180366587937,True
97,Tennessee,2012,2479733.0,4736084,4976284,0.5235829854369137,0.49831018486887,24.3,55400,0.7532,38.54299550769427,6455.75,41235,156.5599611980114,True
98,Texas,2012,,16119973,19185395,,,26.7,66910,0.4438,35.43487116052048,26084.12,261232,99.8504011759662,True
99,Utah,2012,1028786.0,1833339,1978956,0.5611542655231793,0.5198629984699003,30.7,75180,0.7995,32.86008494842417,2854.15,82170,34.73469636120239,True
100,Virginia,2012,3888186.0,5834676,6348827,0.6663927868488327,0.6124258859156188,35.5,83290,0.6417,38.14099548661878,8187.46,39490,207.32995695112686,True
101,West Virginia,2012,,1447066,1472642,,,18.6,56120,0.9328,40.808635808635806,1857.45,24038,77.27140361094933,True
102,Wisconsin,2012,3084115.0,4209370,4417273,0.7326785243397468,0.698194338452706,27.1,68400,0.8309,38.74766892438152,5720.83,54158,105.63222423280033,True
103,Wyoming,2012,250701.0,425142,441726,0.5896876808219371,0.5675486613873759,24.7,74110,0.8481,37.97620751341682,576.656,97093,5.939212919571957,True
104,Alaska,2014,285431.0,520562,550837,0.5483131692286414,0.5181768835426814,28.0,84900,0.6195,35.57826210019813,737.075,570641,1.2916614824381705,False
